file type,attributes
*.txt,text
*.py,text
*.md,text
*.c,text
*.h,text
*.tmpl,text
*.icf,text
*.ld,text
*.sct,text
*.cmd,text
*.s,text
*.S,text
*.sgxx,binary
*.pdf,binary
*.ewp,text
*.uvopt,text
*.uvproj,text
*.ini_initial,text
*.prefs,text
*.lib,binary
*.a,binary
*.eww,text
*.sgxw,text
*.uvmpw,text
*.ewd,text
*.ccxml,text
*.bin,binary
*.out,binary
*.axf
*.exe,binary
*.msi,binary
*.html,text
*.css,text
*.png,binary
*.jpeg,binary
*.include,text
*.Opt,text
*.Uv2,text
*.hzp,texts
*.hzs,text
*.r79,binary
*.wsdt,text
*.dbgdt,text
*.dni,text
*.cfg,text
*.script,text
*.webserver,text
*.shtml,text
*.dep,text
*.xcl,text
*.sim,binary
*.pbi,text
*.pbd,text
*.crf,binary
*.d,text
*.__i,text
*.iex,text
*.map,text
*.bat,text
*.js,text
*.xml,text
*.asm,text
*.cpp,text
*.vcproj,text
*.cxx,text
*.ico,binary
*.rc,text
*.fl,text
*.def,text
*.scm,text
*.inf,text
*.cat,binary
*.dll,binary
